Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Graph-based pattern-oriented, context-sensitive source code completion",A. T. Nguyen; T. T. Nguyen; H. A. Nguyen; A. Tamrawi; H. V. Nguyen; J. Al-Kofahi; T. N. Nguyen,"Electrical and Computer Engineering Department, Iowa State University",2012 34th International Conference on Software Engineering (ICSE),20120628,2012,,,69,79,"Code completion helps improve developers' programming productivity. However, the current support for code completion is limited to context-free code templates or a single method call of the variable on focus. Using software libraries for development, developers often repeat API usages for certain tasks. Thus, a code completion tool could make use of API usage patterns. In this paper, we introduce GraPacc, a graph-based, pattern-oriented, context-sensitive code completion approach that is based on a database of such patterns. GraPacc represents and manages the API usage patterns of multiple variables, methods, and control structures via graph-based models. It extracts the context-sensitive features from the code under editing, e.g. the API elements on focus and their relations to other code elements. Those features are used to search and rank the patterns that are most fitted with the current code. When a pattern is selected, the current code will be completed via a novel graph-based code completion algorithm. Empirical evaluation on several real-world systems shows that GraPacc has a high level of accuracy in code completion.",0270-5257;02705257,Electronic:978-1-4673-1067-3; POD:978-1-4673-1066-6,10.1109/ICSE.2012.6227205,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227205,API usage pattern;pattern-based code completion,Context;Databases;Feature extraction;Graphical user interfaces;Layout;Libraries;Pattern matching,application program interfaces;feature extraction;graph theory;software libraries;source coding,API elements;API usage patterns;GraPacc;code elements;context-free code templates;context-sensitive feature extraction;developer programming productivity improvement;graph-based pattern-oriented context-sensitive source code completion;single method call;software libraries,,28,1,36,,,,2-9 June 2012,,IEEE,IEEE Conferences
Where does this code come from and where does it go? — Integrated code history tracker for open source systems,K. Inoue; Y. Sasaki; P. Xia; Y. Manabe,"Osaka University, Osaka, Japan",2012 34th International Conference on Software Engineering (ICSE),20120628,2012,,,331,341,"When we reuse a code fragment in an open source system, it is very important to know the history of the code, such as the code origin and evolution. In this paper, we propose an integrated approach to code history tracking for open source repositories. This approach takes a query code fragment as its input, and returns the code fragments containing the code clones with the query code. It utilizes publicly available code search engines as external resources. Based on this model, we have designed and implemented a prototype system named Ichi Tracker. Using Ichi Tracker, we have conducted three case studies. These case studies show the ancestors and descendents of the code, and we can recognize their evolution history.",0270-5257;02705257,Electronic:978-1-4673-1067-3; POD:978-1-4673-1066-6,10.1109/ICSE.2012.6227181,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227181,Code Search;Open Source System;Software Evolution,Cloning;Engines;Google;History;Licenses;Search engines;Strontium,public domain software;search engines;software maintenance;software reusability,Ichi Tracker;code ancestors;code clones;code descendents;code evolution;code origin;integrated code history tracker;open source repositories;open source systems;publicly available code search engines;query code fragment reusability,,6,,37,,,,2-9 June 2012,,IEEE,IEEE Conferences
Search-Based Migration of Model Variants to Software Product Line Architectures,W. K. G. Assunção,"DINF, Fed. Univ. of Parana, Curitiba, Brazil",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,2,,895,898,"Software Product Lines (SPLs) are families of related software systems developed for specific market segments or domains. Commonly, SPLs emerge from sets of existing variants when their individual maintenance becomes infeasible. However, current approaches for SPL migration do not support design models, are partially automated, or do not reflect constraints from SPL domains. To tackle these limitations, the goal of this doctoral research plan is to propose an automated approach to the SPL migration process at the design level. This approach consists of three phases: detection, analysis and transformation. It uses as input the class diagrams and lists of features for each system variant, and relies on search-based algorithms to create a product line architecture that best captures the variability present in the variants. Our expected contribution is to support the adoption of SPL practices in companies that face the scenario of migrating variants to SPLs.",0270-5257;02705257,Electronic:978-1-4799-1934-5; POD:978-1-4799-1935-2,10.1109/ICSE.2015.286,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7203108,Migration;Re-engineering;Reuse;Search-Based Software Engineering;Software Product Line,Feature extraction;Medical services;Programmable logic arrays;Software;Software product lines;Unified modeling language,software architecture;software product lines,SPL architecture;SPL migration process;product line architecture;search-based algorithm;search-based migration algorithm;software product line architecture,,0,,24,,,,16-24 May 2015,,IEEE,IEEE Conferences
Local Analysis for Global Inputs,A. Kampmann,"Saarland Univ., Saarbrucken, Germany",2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C),20170703,2017,,,433,436,"Fuzz testing and symbolic test generation both face their own challenges. While symbolic testing has scalability issues, fuzzing cannot uncover faults which require carefully engineered inputs. In this paper I propose a combination of both approaches, compensating weaknesses of each approach with the strength of the other approach. I present my plans for evaluation, which include applications of the hybrid tool to programs which neither of the approaches can handle on its own.",,Electronic:978-1-5386-1589-8; POD:978-1-5386-1590-4,10.1109/ICSE-C.2017.32,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965377,fuzzing;hybrid;symbolic execution;system testing;test generation;unit testing,Computer bugs;Concrete;Grammar;Software;Telemetry;Testing;Tools,program testing,fuzz testing;global inputs;hybrid tool;local analysis;scalability issues;symbolic test generation,,,,,,,,20-28 May 2017,,IEEE,IEEE Conferences
Memoise: A tool for memoized symbolic execution,G. Yang; S. Khurshid; C. S. Păsăreanu,"Electrical and Computer Engineering, The University of Texas at Austin, Austin, TX 78712, USA",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,1343,1346,"This tool paper presents a tool for performing memoized symbolic execution (Memoise), an approach we developed in previous work for more efficient application of symbolic execution. The key idea in Memoise is to allow re-use of symbolic execution results across different runs of symbolic execution without having to re-compute previously computed results as done in earlier approaches. Specifically, Memoise builds a trie-based data structure to record path exploration information during a run of symbolic execution, optimizes the trie for the next run, and re-uses the resulting trie during the next run. Our tool optimizes symbolic execution in three standard scenarios where it is commonly applied: iterative deepening, regression analysis, and heuristic search. Our tool Memoise builds on the Symbolic PathFinder framework to provide more efficient symbolic execution of Java programs and is available online for download. The tool demonstration video is available at http://www.youtube.com/watch?v=ppfYOB0Z2vY.",0270-5257;02705257,Electronic:978-1-4673-3076-3; POD:978-1-4673-3075-6,10.1109/ICSE.2013.6606713,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606713,,Data structures;Iterative methods;Java;NASA;Regression analysis;Standards;Testing,Java;data structures;iterative methods;program verification;regression analysis,Java programs;Memoise;heuristic search;iterative deepening;memoized symbolic execution;path exploration information;regression analysis;symbolic PathFinder framework;tool demonstration video;trie-based data structure,,4,,13,,,,18-26 May 2013,,IEEE,IEEE Conferences
Information foraging as a foundation for code navigation: NIER track,N. Niu; A. Mahmoud; G. Bradshaw,"Mississippi State University, Mississippi State, MS, USA",2011 33rd International Conference on Software Engineering (ICSE),20111010,2011,,,816,819,A major software engineering challenge is to understand the fundamental mechanisms that underlie the developer's code navigation behavior. We propose a novel and unified theory based on the premise that we can study developer's information seeking strategies in light of the foraging principles that evolved to help our animal ancestors to find food. Our preliminary study on code navigation graphs suggests that the tenets of information foraging provide valuable insight into software maintenance. Our research opens the avenue towards the development of ecologically valid tool support to augment developers' code search skills.,0270-5257;02705257,Electronic:978-1-4503-0445-0; POD:978-1-4503-0445-0,10.1145/1985793.1985911,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6032526,foraging theory;program comprehension;software maintenance,Biological system modeling;Debugging;Maintenance engineering;Navigation;Profitability;Software engineering;Software maintenance,software maintenance,NIER track;code navigation;foundation;information foraging;information seeking;software engineering,,5,,15,,,,21-28 May 2011,,IEEE,IEEE Conferences
Fast and Precise Statistical Code Completion,P. Roos,"ETH Zurich, Zurich, Switzerland",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,2,,757,759,The main problem we try to solve is API code completion which is both precise and works in real-time. We describe an efficient implementation of an N-gram language model combined with several smoothing methods and a completion algorithm based on beam search. We show that our system is both fast and precise using a thorough experimental evaluation. With optimal parameters we are able to find completions in milliseconds and the desired completion is in the top 3 suggestions in 89% of the time.,0270-5257;02705257,Electronic:978-1-4799-1934-5; POD:978-1-4799-1935-2,10.1109/ICSE.2015.240,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7203061,APIs;Code Completion;Statistical Language Models;Synthesis,Computational modeling;Libraries;Probability;Real-time systems;Runtime;Semantics;Smoothing methods,application program interfaces;programming languages;statistical analysis,API code completion;N-gram language model;beam search;completion algorithm;experimental evaluation;smoothing methods;statistical code completion,,0,,16,,,,16-24 May 2015,,IEEE,IEEE Conferences
On the relationships between domain-based coupling and code clones: An exploratory study,M. S. Rahman; A. Aryani; C. K. Roy; F. Perin,"University of Saskatchewan, Canada",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,1265,1268,"Knowledge of similar code fragments, also known as code clones, is important to many software maintenance activities including bug fixing, refactoring, impact analysis and program comprehension. While a great deal of research has been conducted for finding techniques and implementing tools to identify code clones, little research has been done to analyze the relationships between code clones and other aspects of software. In this paper, we attempt to uncover the relationships between code clones and coupling among domain-level components. We report on a case study of a large-scale open source enterprise system, where we demonstrate that the probability of finding code clones among components with domain-based coupling is more than 90%. While such a probabilistic view does not replace a clone detection tool per se, it certainly has the potential to complement the existing tools by providing the probability of having code clones between software components. For example, it can both reduce the clone search space and provide a flexible and language independent way of focusing only on a specific part of the system. It can also provide a higher level of abstraction to look at the cloning relationships among software components.",0270-5257;02705257,Electronic:978-1-4673-3076-3; POD:978-1-4673-3075-6,10.1109/ICSE.2013.6606694,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606694,,Cloning;Computer bugs;Couplings;Maintenance engineering;Manuals;Software;User interfaces,program debugging;security of data;software maintenance,bug fixing;clone detection tool;cloning relationships;code clones;code fragments;domain based coupling;domain level components;impact analysis;open source enterprise system;program comprehension;refactoring;software components;software maintenance activities,,3,1,12,,,,18-26 May 2013,,IEEE,IEEE Conferences
Assisting developers of Big Data Analytics Applications when deploying on Hadoop clouds,W. Shang; Z. M. Jiang; H. Hemmati; B. Adams; A. E. Hassan; P. Martin,"Software Analysis and Intelligence Lab (SAIL), School of Computing, Queen's University, Kingston, Canada",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,402,411,"Big data analytics is the process of examining large amounts of data (big data) in an effort to uncover hidden patterns or unknown correlations. Big Data Analytics Applications (BDA Apps) are a new type of software applications, which analyze big data using massive parallel processing frameworks (e.g., Hadoop). Developers of such applications typically develop them using a small sample of data in a pseudo-cloud environment. Afterwards, they deploy the applications in a large-scale cloud environment with considerably more processing power and larger input data (reminiscent of the mainframe days). Working with BDA App developers in industry over the past three years, we noticed that the runtime analysis and debugging of such applications in the deployment phase cannot be easily addressed by traditional monitoring and debugging approaches. In this paper, as a first step in assisting developers of BDA Apps for cloud deployments, we propose a lightweight approach for uncovering differences between pseudo and large-scale cloud deployments. Our approach makes use of the readily-available yet rarely used execution logs from these platforms. Our approach abstracts the execution logs, recovers the execution sequences, and compares the sequences between the pseudo and cloud deployments. Through a case study on three representative Hadoop-based BDA Apps, we show that our approach can rapidly direct the attention of BDA App developers to the major differences between the two deployments. Knowledge of such differences is essential in verifying BDA Apps when analyzing big data in the cloud. Using injected deployment faults, we show that our approach not only significantly reduces the deployment verification effort, but also provides very few false positives when identifying deployment failures.",0270-5257;02705257,Electronic:978-1-4673-3076-3; POD:978-1-4673-3075-6,10.1109/ICSE.2013.6606586,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606586,Big-Data Analytics Application;Cloud Computing;Hadoop;Log Analysis;Monitoring and Debugging,Context;Data handling;Data storage systems;Information management;Joining processes;Keyword search;Programming,cloud computing;data analysis;formal verification;parallel processing;program debugging;public domain software;software fault tolerance;system monitoring,Hadoop clouds;Hadoop-based BDA Apps;big data analysis;big data analytics applications;cloud deployments;deployment verification effort reduction;developer assistance;execution log abstraction;execution sequence recovery;parallel processing frameworks;software applications,,25,,26,,,,18-26 May 2013,,IEEE,IEEE Conferences
A Genetic Algorithm for Detecting Significant Floating-Point Inaccuracies,D. Zou; R. Wang; Y. Xiong; L. Zhang; Z. Su; H. Mei,"Key Lab. of High Confidence Software Technol., Peking Univ., Beijing, China",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,1,,529,539,"It is well-known that using floating-point numbers may inevitably result in inaccurate results and sometimes even cause serious software failures. Safety-critical software often has strict requirements on the upper bound of inaccuracy, and a crucial task in testing is to check whether significant inaccuracies may be produced. The main existing approach to the floating-point inaccuracy problem is error analysis, which produces an upper bound of inaccuracies that may occur. However, a high upper bound does not guarantee the existence of inaccuracy defects, nor does it give developers any concrete test inputs for debugging. In this paper, we propose the first metaheuristic search-based approach to automatically generating test inputs that aim to trigger significant inaccuracies in floating-point programs. Our approach is based on the following two insights: (1) with FPDebug, a recently proposed dynamic analysis approach, we can build a reliable fitness function to guide the search; (2) two main factors - the scales of exponents and the bit formations of significands - may have significant impact on the accuracy of the output, but in largely different ways. We have implemented and evaluated our approach over 154 real-world floating-point functions. The results show that our approach can detect significant inaccuracies in the subjects.",0270-5257;02705257,Electronic:978-1-4799-1934-5; POD:978-1-4799-1935-2,10.1109/ICSE.2015.70,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7194603,,Accuracy;Algorithm design and analysis;Genetic algorithms;Search problems;Sociology;Software;Statistics,floating point arithmetic;genetic algorithms;program debugging;search problems;system monitoring,FPDebug;debugging;dynamic analysis approach;error analysis;fitness function;floating-point inaccuracy detection;floating-point inaccuracy problem;floating-point numbers;floating-point programs;genetic algorithm;metaheuristic search-based approach;safety-critical software;software failures,,7,,34,,,,16-24 May 2015,,IEEE,IEEE Conferences
Search based design of software product lines architectures,T. E. Colanzi,"Computer Science Department, Federal University of Paran&#x00E1;, UFPR, Brazil",2012 34th International Conference on Software Engineering (ICSE),20120628,2012,,,1507,1510,"The Product-Line Architecture (PLA) is the main artifact of a Software Product Line (SPL). However, obtaining a modular, extensible and reusable PLA is a people-intensive and non-trivial task, related to different and possible conflicting factors. Hence, the PLA design is a hard problem and to find the best architecture can be formulated as an optimization problem with many factors. Similar Software Engineering problems have been efficiently solved by search-based algorithms in the field known as Search-based Software Engineering. The existing approaches used to optimize software architecture are not suitable since they do not encompass specific characteristics of SPL. To easy the SPL development and to automate the PLA design this work introduces a multi-objective optimization approach to the PLA design. The approach is now being implemented by using evolutionary algorithms. Empirical studies will be performed to validate the neighborhood operators, SPL measures and search algorithms chosen. Finally, we intend to compare the results of the proposed approach with PLAs designed by human architects.",0270-5257;02705257,Electronic:978-1-4673-1067-3; POD:978-1-4673-1066-6,10.1109/ICSE.2012.6227050,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227050,multi-objective algorithms;software architecture optimization;software product lines,Computer architecture;Optimization;Programmable logic arrays;Search problems;Software;Software architecture,evolutionary computation;product development;search problems;software architecture;software reusability,PLA design;SPL;evolutionary algorithms;multi objective optimization approach;neighborhood operators;search based design;search-based algorithms;search-based software engineering;software architecture;software product lines architectures,,3,,23,,,,2-9 June 2012,,IEEE,IEEE Conferences
A practical guide for using statistical tests to assess randomized algorithms in software engineering,A. Arcuri; L. Briand,"Simula Research Laboratory, Lysaker, Norway",2011 33rd International Conference on Software Engineering (ICSE),20111010,2011,,,1,10,"Randomized algorithms have been used to successfully address many different types of software engineering problems. This type of algorithms employ a degree of randomness as part of their logic. Randomized algorithms are useful for difficult problems where a precise solution cannot be derived in a deterministic way within reasonable time. However, randomized algorithms produce different results on every run when applied to the same problem instance. It is hence important to assess the effectiveness of randomized algorithms by collecting data from a large enough number of runs. The use of rigorous statistical tests is then essential to provide support to the conclusions derived by analyzing such data. In this paper, we provide a systematic review of the use of randomized algorithms in selected software engineering venues in 2009. Its goal is not to perform a complete survey but to get a representative snapshot of current practice in software engineering research. We show that randomized algorithms are used in a significant percentage of papers but that, in most cases, randomness is not properly accounted for. This casts doubts on the validity of most empirical results assessing randomized algorithms. There are numerous statistical tests, based on different assumptions, and it is not always clear when and how to use these tests. We hence provide practical guidelines to support empirical research on randomized algorithms in software engineering.",0270-5257;02705257,Electronic:978-1-4503-0445-0; POD:978-1-4503-0445-0,10.1145/1985793.1985795,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6032439,bonferroni adjustment;confidence interval;effect size;non-parametric test;parametric test;statistical difference;survey;systematic review,Algorithm design and analysis;Context;Search problems;Software algorithms;Software engineering;Statistical analysis;Testing,software engineering;statistical analysis,practical guide;randomized algorithms;snapshot representation;software engineering;statistical tests,,97,,60,,,,21-28 May 2011,,IEEE,IEEE Conferences
Query quality prediction and reformulation for source code search: The Refoqus tool,S. Haiduc; G. De Rosa; G. Bavota; R. Oliveto; A. de Lucia; A. Marcus,"Department of Computer Science, Wayne State University, Detroit, MI 48202, USA",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,1307,1310,"Developers search source code frequently during their daily tasks, to find pieces of code to reuse, to find where to implement changes, etc. Code search based on text retrieval (TR) techniques has been widely used in the software engineering community during the past decade. The accuracy of the TR-based search results depends largely on the quality of the query used. We introduce Refoqus, an Eclipse plugin which is able to automatically detect the quality of a text retrieval query and to propose reformulations for it, when needed, in order to improve the results of TR-based code search. A video of Refoqus is found online at http://www.youtube.com/watch?v=UQlWGiauyk4.",0270-5257;02705257,Electronic:978-1-4673-3076-3; POD:978-1-4673-3075-6,10.1109/ICSE.2013.6606704,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606704,Query Quality;Query Reformulation;Source Code Search;Text Retrieval,Context;Feature extraction;Software engineering;Software maintenance;Software systems;Training;Training data,query formulation;software engineering,Eclipse plugin;Refoqus tool;TR-based search;query quality prediction;query reformulation;software engineering;source code search;text retrieval query;text retrieval technique,,2,,11,,,,18-26 May 2013,,IEEE,IEEE Conferences
Mining Input Grammars with AUTOGRAM,M. Hoschele; A. Zeller,"Saarland Inf. Campus, Saarland Univ., Saarbrucken, Germany",2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C),20170824,2017,,,31,34,"Knowledge about how a program processes its inputs can help to understand the structure of the input as well as the structure of the program. In a JSON value like [1, true, ""Alice""], for instance the integer value 1, the boolean value true and the string value ""Alice"" would be handled by different functions or stored in different variables. Our AUTOGRAM tool uses dynamic tainting to trace the data flow of each input character for a set of sample inputs and identifies syntactical entities by grouping input fragments that are handled by the same functions. The resulting context-free grammar reflects the structure of valid inputs and can be used for reverse engineering of formats and can serve as direct input for test generators. A video demonstrating AUTOGRAM is available at https://youtu.be/Iqym60iWBBk.",,Electronic:978-1-5386-1589-8; POD:978-1-5386-1590-4,10.1109/ICSE-C.2017.14,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965250,Input formats;context-free grammars;dynamic tainting;fuzzing,Generators;Grammar;Informatics;Instruments;Java;Phosphors;Reverse engineering,Boolean algebra;context-free grammars;data flow analysis;data mining;program processors;reverse engineering;software tools,AUTOGRAM tool;Boolean value true;JSON value;context-free grammar;data flow;dynamic tainting;input grammar mining;program processes;program structure;reverse engineering;string value;syntactical entities identification;test generators,,,,,,,,20-28 May 2017,,IEEE,IEEE Conferences
A Practical Guide to Select Quality Indicators for Assessing Pareto-Based Search Algorithms in Search-Based Software Engineering,S. Wang; S. Ali; T. Yue; Y. Li; M. Liaaen,"Simula Res. Lab., Oslo, Norway",2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),20170403,2016,,,631,642,"Many software engineering problems are multi-objective in nature, which has been largely recognized by the Search-based Software Engineering (SBSE) community. In this regard, Pareto- based search algorithms, e.g., Non-dominated Sorting Genetic Algorithm II, have already shown good performance for solving multi-objective optimization problems. These algorithms produce Pareto fronts, where each Pareto front consists of a set of non- dominated solutions. Eventually, a user selects one or more of the solutions from a Pareto front for their specific problems. A key challenge of applying Pareto-based search algorithms is to select appropriate quality indicators, e.g., hypervolume, to assess the quality of Pareto fronts. Based on the results of an extended literature review, we found that the current literature and practice in SBSE lacks a practical guide for selecting quality indicators despite a large number of published SBSE works. In this direction, the paper presents a practical guide for the SBSE community to select quality indicators for assessing Pareto-based search algorithms in different software engineering contexts. The practical guide is derived from the following complementary theoretical and empirical methods: 1) key theoretical foundations of quality indicators; 2) evidence from an extended literature review; and 3) evidence collected from an extensive experiment that was conducted to evaluate eight quality indicators from four different categories with six Pareto-based search algorithms using three real industrial problems from two diverse domains.",,Electronic:978-1-4503-3900-1; POD:978-1-5090-2071-3,10.1145/2884781.2884880,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7886940,Multi-objective Software Engineering Problems;Pareto-based Search Algorithms;Practical Guide;Quality Indicators,Bibliographies;Classification algorithms;Convergence;Search problems;Sociology;Software algorithms;Software engineering,Pareto optimisation;search problems;software quality,Pareto front;Pareto-based search algorithms;SBSE community;multiobjective optimization problems;nondominated sorting genetic algorithm II;quality indicators;search-based software engineering,,5,,,,,,14-22 May 2016,,IEEE,IEEE Conferences
Search-Based Adaptation Planning Framework for Self-Adaptive Systems,L. Wang,"Sch. of Comput. Sci. & Technol., Xidian Univ., Xian, China",2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C),20170703,2017,,,465,466,"Future-generation Self-Adaptive Systems (SASs) are required to adapt to the multiple, interrelated, and evolving changes. Current adaptation planning methods, which consider only one or two changes at a time and assume that changes are independent and the prioritization of them is static, need to be improved. Arguing that the adaptation planning is a search problem, this thesis highlights the feasibility and potential benefits of adopting Search-Based Optimization as an innovative planning method. A search-based adaptation planning framework is proposed to deal with these changes and make the best decisions for future-generation SASs.",,Electronic:978-1-5386-1589-8; POD:978-1-5386-1590-4,10.1109/ICSE-C.2017.21,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965386,Search-based optimization;Search-based software engineering;Self-adaptation planning;Self-adaptive systems,Linear programming;Optimization;Planning;Real-time systems;Search problems;Software engineering;Uncertainty,optimisation;search problems;software engineering,SAS;future-generation self-adaptive systems;innovative planning method;search problem;search-based adaptation planning framework;search-based optimization,,,,,,,,20-28 May 2017,,IEEE,IEEE Conferences
SDiC: Context-based retrieval in Eclipse,B. Antunes; J. Cordeiro; P. Gomes,"Centre for Informatics and Systems of the University of Coimbra, Coimbra, Portugal",2012 34th International Conference on Software Engineering (ICSE),20120628,2012,,,1467,1468,"While working in an IDE, developers typically deal with a large number of different artifacts at the same time. The software development process requires that they repeatedly switch between different artifacts, which often depends on searching for these artifacts in the source code structure. We propose a tool that integrates context-based search and recommendation of source code artifacts in Eclipse. The artifacts are collected from the workspace of the developer and represented using ontologies. A context model of the developer is used to improve search and give recommendations of these artifacts, which are ranked according to their relevance to the developer. The tool was tested by a group of developers and the results show that contextual information has an important role in retrieving relevant information for developers.",0270-5257;02705257,Electronic:978-1-4673-1067-3; POD:978-1-4673-1066-6,10.1109/ICSE.2012.6227061,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227061,,Computational modeling;Context;Context modeling;Knowledge based systems;Ontologies;Programming;Switches,content-based retrieval;ontologies (artificial intelligence);recommender systems;software engineering,Eclipse;IDE;SDiC;context-based retrieval;context-based search;information retrieval;ontologies;software development in context;software development process;source code artifact recommendation;source code structure,,0,,4,,,,2-9 June 2012,,IEEE,IEEE Conferences
Automated Test Suite Generation for Time-Continuous Simulink Models,R. Matinnejad; S. Nejati; L. C. Briand; T. Bruckmann,"SnT Centre, Univ. of Luxembourg, Luxembourg, Luxembourg",2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),20170403,2016,,,595,606,"All engineering disciplines are founded and rely on models, although they may differ on purposes and usages of modeling. Interdisciplinary domains such as Cyber Physical Systems (CPSs) seek approaches that incorporate different modeling needs and usages. Specifically, the Simulink modeling platform greatly appeals to CPS engineers due to its seamless support for simulation and code generation. In this paper, we propose a test generation approach that is applicable to Simulink models built for both purposes of simulation and code generation. We define test inputs and outputs as signals that capture evolution of values over time. Our test generation approach is implemented as a meta-heuristic search algorithm and is guided to produce test outputs with diverse shapes according to our proposed notion of diversity. Our evaluation, performed on industrial and public domain models, demonstrates that: (1) In contrast to the existing tools for testing Simulink models that are only applicable to a subset of code generation models, our approach is applicable to both code generation and simulation Simulink models. (2) Our new notion of diversity for output signals outperforms random baseline testing and an existing notion of signal diversity in revealing faults in Simulink models. (3) The fault revealing ability of our test generation approach outperforms that of the Simulink Design Verifier, the only testing toolbox for Simulink.",,Electronic:978-1-4503-3900-1; POD:978-1-5090-2071-3,10.1145/2884781.2884797,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7886937,Output diversity;Search-based software testing;Signal features;Simulink Design Verifier (SLDV);Simulink models;Software testing;Structural coverage;Time-continuous behaviors,Computational modeling;Fuels;Mathematical model;Shape;Software packages;Testing,automatic testing;program compilers;program testing;search problems,automated test suite generation;code generation;fault revealing ability;industrial domain models;meta-heuristic search algorithm;public domain models;signal diversity;simulation Simulink models;test inputs;test outputs;time-continuous Simulink models,,3,,,,,,14-22 May 2016,,IEEE,IEEE Conferences
Learning Combinatorial Interaction Test Generation Strategies Using Hyperheuristic Search,Y. Jia; M. B. Cohen; M. Harman; J. Petke,"Univ. Coll. London, London, UK",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,1,,540,550,"The surge of search based software engineering research has been hampered by the need to develop customized search algorithms for different classes of the same problem. For instance, two decades of bespoke Combinatorial Interaction Testing (CIT) algorithm development, our exemplar problem, has left software engineers with a bewildering choice of CIT techniques, each specialized for a particular task. This paper proposes the use of a single hyperheuristic algorithm that learns search strategies across a broad range of problem instances, providing a single generalist approach. We have developed a Hyperheuristic algorithm for CIT, and report experiments that show that our algorithm competes with known best solutions across constrained and unconstrained problems: For all 26 real-world subjects, it equals or outperforms the best result previously reported in the literature. We also present evidence that our algorithm's strong generic performance results from its unsupervised learning. Hyperheuristic search is thus a promising way to relocate CIT design intelligence from human to machine.",0270-5257;02705257,Electronic:978-1-4799-1934-5; POD:978-1-4799-1935-2,10.1109/ICSE.2015.71,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7194604,CIT;Hyperheuristic;SBSE,Algorithm design and analysis;Arrays;Heuristic algorithms;Search problems;Simulated annealing;Software algorithms;Testing,program testing;software engineering;unsupervised learning,CIT algorithm development;combinatorial interaction test generation strategies;hyperheuristic search strategies;search based software engineering;unsupervised learning,,8,,40,,,,16-24 May 2015,,IEEE,IEEE Conferences
